artist_id,artist_location,artist_name,song_id,title,duration,year
AREWD471187FB49873,Other,Son Kite,SOIGICF12A8C141BC5,Game & Watch,581,2004
ARA23XO1187B9AF18F,"Carteret, New Jersey",The Smithereens,SOKTJDS12AF72A25E5,Drown In My Own Tears (24-Bit Digitally Remastered 04),193,1988
ARA23XO1187B9AF18F,"Carteret, New Jersey",The Smithereens,SOFPNQF12A8C13A8C1,Room Without A View,249,1989
ARA23XO1187B9AF18F,"Carteret, New Jersey",The Smithereens,SOQKUVL12A8AE46636,Deep Black,176,1987
ARA23XO1187B9AF18F,"Carteret, New Jersey",The Smithereens,SOTCNOL12A58A81C5C,White Castle Blues (Live At The Stone Pony) (24-Bit Digitally Remastered 04),460,1988
ARGE7G11187FB37E05,"Brooklyn, NY",Cyndi Lauper,SONRWUU12AF72A4283,Into The Nightlife,241,2008
ARGE7G11187FB37E05,"Brooklyn, NY",Cyndi Lauper,SOKLSZA12A8BEEEF24,I Drove All Night,252,1989
ARXR32B1187FB57099,Other,Gob,SOFSOCN12A8C143F5D,Face the Ashes,210,2007
ARXR32B1187FB57099,Other,Gob,SOLMFNE12AB018F807,No Regrets,153,2001
ARSZ7L31187FB4E610,"Denver, CO",Devotchka,SORRNOC12AB017F52B,The Last Beat Of My Heart (b-side),338,2004
ARSZ7L31187FB4E610,"Denver, CO",Devotchka,SOXAVRG12A8C13B199,This Place Is Haunted (Album version),200,2004
ARSZ7L31187FB4E610,"Denver, CO",Devotchka,SONKMRP12A8C13B143,Undone,302,2008
ARSZ7L31187FB4E610,"Denver, CO",Devotchka,SOEXMNK12A8C13B159,Twenty-Six Temptations (Album version),252,2004
ARSZ7L31187FB4E610,"Denver, CO",Devotchka,SOUWDWA12A8C13B167,We're Leaving (Album version),282,2004
AR10USD1187B99F3F1,"Burlington, Ontario, Canada",Tweeterfriendly Music,SOHKNRJ12A6701D1F8,Drop of Rain,190,2005
AR10USD1187B99F3F1,"Burlington, Ontario, Canada",Silverstein,SOZEHMC12A6D4F9F30,Always And Never (Album Version),230,2005
AR10USD1187B99F3F1,"Burlington, Ontario, Canada",Silverstein,SOXURBQ12A6D4FBB27,BLEEDS NO MORE (Live Version),256,2006
AR10USD1187B99F3F1,"Burlington, Ontario, Canada",Silverstein,SOPLIYZ12A6D4FBB08,MY CONSOLATION (LP Version),243,2006
ARY589G1187B9A9F4E,"Portland, OR",Talkdemonic,SOIGHOD12A8C13B5A1,Indian Angel,172,2004
ARXQBR11187B98A2CC,"Liverpool, England",Frankie Goes To Hollywood,SOBRKGM12A8C139EF6,Welcome to the Pleasuredome,821,1985
ARTC1LV1187B9A4858,"Goldsmith's College, Lewisham, Lo",The Bonzo Dog Band,SOAFBCP12A8C13CC7D,King Of Scurf (2007 Digital Remaster),301,1972
